ID,BIN,LOCATION,FEAT_UND,STATE_CODE,TYPE,MAT,YR_BLT,YR_FAIL,DATE_FAIL,FAIL_TYPE,FAIL_CAUS,FATAL,INJURY,SOURCE,COMMENTS
838,1010950,"Rt 14, Dresden",Keuka Lake Outlet,NY,,,,1977,,PC,Misc - Pier Sheared,0,0,SURV,
839,2218160,"Catherine St, Hornell",Glen Run,NY,,,,1977,,TC,Overload,0,0,SURV,
840,1095910,"Green Island, Troy",Hudson River,NY,Truss thru,Steel,1903,1977,15-Mar-1977,TC,Hydraulic - Scour,0,0,SURV,
841,,"County Road 57, Johnsburg",Mill Creek,NY,Culvert,Steel,1953,1978,,TC,Construction,0,0,ARTL,
842,3302400,"Beede Road, Essex Co",East Br Ausable Rivr,NY,Truss thru,Iron,1895,1978,,TC,Overload PSTD,0,0,SURV,
843,,"Coonrod Road, Essex Co",Boquet River,NY,Truss thru,Iron,1906,1978,,TC,Overload PSTD,0,0,ARTL,
844,,Rt 219 Carrollton Catt Co (2),Allegheny River,NY,Truss thru,Steel,1922,1978,,PC,Collision - Truck,,,SURV,
845,,"West Newark X Road, Tioga Co",Owego Creek,NY,Truss,Steel,1900,1978,,PC,Overload,0,0,SURV,
846,,"Tone Rd., East Virgil",Gridley Creek,NY,Trestle,Timber,1935,1978,,TC,Nature - Pile Deter,0,0,SURV,
847,3208970,"Halladay Rd, Twn Mexico, Oswego",Little Salmon River,NY,Truss,Iron,1900,1978,,TC,Overload,0,0,SURV,
848,,"Dawes Ave, Rome",Sherman Creek,NY,Girder,Steel,,1979,,PC,Misc - Abut Collapse,0,0,ARTL,
849,,"Hazeltine Rd, Essex Co",Rocky Branch Brook,NY,Girder,Steel,,1979,,TC,Hydraulic - Flood,0,0,ARTL,
850,,"St Huberts Rd, Essex Co",Putnam Brook,NY,Truss pony,Steel,,1979,,TC,Collision - Car,0,0,ARTL,
851,,"Holladay Road, Oswego Co",Salmon River,NY,Truss pony,Iron,,1979,,TC,Misc - Unknown,,,ARTL,
852,,"Rt 29A, Fulton Co",East Canada Creek,NY,,,,1979,,PC,Hydraulic - Ice,,,ARTL,
853,2214370,"No Hill Rd, Burns",,NY,Truss pony,Steel,,1980,,TC,Overload,0,0,SURV,
854,,"Cold Spring Rd, Wash Co",White Creek,NY,Truss pony,Steel,1910,1980,,PC,Misc - Abut Collapse,0,0,ARTL,
855,3305160,"Glendale Rd (CR 62), Warren Co",Schroon Lake Outlet,NY,Truss,Steel,1898,1980,,PC,Overload PSTD,,,SURV,
856,,"Babcock Hollow, Bleck Rd Harford",,NY,,,1935,1980,,TC,Hydraulic,0,0,SURV,
857,,Blogetts Mills,Tioughnioga River,NY,Girder,Steel,1965,1980,,PC,Steel - Deter,0,0,SURV,
858,2259290,"Plank Rd, Franklin Co",Conrail,NY,Girder FB,Steel,1911,1981,,TC,Collision - Train,0,0,SURV,
859,2200100,"Cranberry Hill, E Hampton",L.I.R.R.,NY,,Timber,1895,1981,,PC,Misc - Deterioration,0,0,SURV,
860,3302210,"Dugway Rd, Essex",Ausable River,NY,Truss thru,Steel,1875,1981,,TC,Hydraulic - Ice,0,0,SURV,
861,3209750,Six Hundred Rd. Twn Caroline,Six Mile Creek,NY,Truss,Iron,1915,1981,,PC,Hydraulic - Scour,0,0,SURV,
862,3209740,"Creamery Rd., Twn Caroline",Six Mile Creek,NY,Truss,Steel,1977,1981,,PC,Hydraulic - Scour,0,0,SURV,
863,3210280,"East Lake Rd., Twn Dryden",Virgil Creek,NY,Girder,Steel,1970,1981,,TC,Hydraulic - Scour,0,0,SURV,
864,3209800,"Freese Rd., Twn of Dryden",Fall Creek,NY,Truss,Steel,1920,1981,,TC,Hydraulic - Flood,0,0,SURV,
865,3263120,"Spring Rd., Twn of Dryden",Virgil Creek,NY,Truss,Steel,1900,1981,,PC,Hydraulic - Flood,0,0,SURV,
1619,,"Plank Road, Jefferson Co.",Conrail RxR,NY,Girder,Steel,0,1981,,TC,Collision - Train,0,0,SURV,
866,6064850,"Rt 951 RX, Alg Ind Res, Catt Co",Allegheny River,NY,Truss thru,Steel,1900,1982,,TC,Overload,0,0,SURV,
867,,Rt 219 Carrollton Catt Co  (1),Allegheny River,NY,Truss thru,Steel,1922,1982,,PC,Fire,,,SURV,
868,,East Homer Crossing,E Br Tioughnioga Rv,NY,Truss,Steel,1898,1982,,PC,Hydraulic,0,0,SURV,
869,,Texas Valley Bridge,Merrills Creek,NY,,Steel,1974,1982,,PC,Misc - Agric. Chems.,0,0,SURV,
870,2309080,"Olmstead Rd, Madison Co",Chittenango Creek,NY,Truss,Steel,1900,1983,,TC,Overload,0,,SURV,
871,3340470,"CR 45 Flrnce Rd, Lewis Co",E Br Salmon River,NY,Girder,Steel,1958,1984,,TC,Hydraulic - Flood,0,0,SURV,
872,,"Birchwood Dr, Princetown",Normanskill Creek,NY,Covered,Timber,,1984,,TC,Hydraulic - Flood,0,0,ARTL,
873,1012080,"Rt 430, Ellery, Chautauqua Co",Dutch Hollow Creek,NY,T-Beam,Concrete,1910,1984,,PC,Hydraulic - Erosion,0,0,SURV,
874,3209190,Harvestor Mill Rd Twn Redfield,Salmon River,NY,Girder FB,Steel,1945,1984,,TC,Hydraulic - Flood,0,0,SURV,
875,3209210,"Caster Dr, Twn Redfield, Oswego",Cottrell Creek,NY,Girder,Steel,1900,1984,,TC,Hydraulic - Flood,0,0,SURV,
876,3339670,"East Main St, Port Leyden",Black River,NY,Truss thru,Iron,1932,1985,,TC,Overload,0,1,SURV,
877,3340470,"Co Rt 45, Osceola",Salmon River,NY,Girder,Steel,,1985,,TC,Hydraulic - Scour,0,0,ARTL,
878,2218110,"High St, Corning",Railroad,NY,,Concrete,1950,1985,,PC,Conc - Deter,0,0,SURV,
879,3313480,"CR54, Twn Schroeppel, Oswego Co",Six Mile Creek,NY,Girder,Timber,1937,1985,,PC,Misc - Deterioration,0,0,SURV,
880,3209870,"Pinckney Rd., Twn of Dryden",Fall Creek,NY,Truss,Iron,1910,1985,,TC,Misc - Deterioration,0,0,SURV,
881,3356640,"Sipple Road, Sullivan Co",Hankins Creek,NY,Girder,Timber,1959,1986,,TC,Overload,0,0,SURV,
882,3324840,Stebbins Rd (CR 90) Chautqua Co,Walnut Creek,NY,Truss deck,Steel,1930,1986,,TC,Overload PSTD,1,3,SURV,
883,,"Rt 16, Delevan,Cattaraugus Co",Cheney Brook,NY,Culvert,Concrete,1921,1986,,TC,Hydraulic - Erosion,0,0,SURV,
884,1073940,"Route 7, Schenectady",Bonnie Brook,NY,Slab,Concrete,,1986,,TC,Hydraulic - Flood,,,SURV,
885,3314670,"Norsen Road, Wayne County",Ganargua Creek,NY,Truss pony,Steel,1879,1986,,TC,Overload PSTD,,,ARTL,
886,5515869,"I-90 NYS Thway, Amsterdam",Schoharie Ck,NY,Girder FB,Steel,1955,1987,5-Apr-1987,TC,Hydraulic - Scour,10,0,SURV,
887,1038820,"SH 161, Mill Point Bridge, Glen",Schoharie Ck,NY,Truss deck,Steel,1928,1987,11-Apr-1987,TC,Hydraulic - Scour,0,0,SURV,
888,,"Lost Cove Rd, Shandaken",Esopus Creek,NY,Girder,Steel,1966,1987,,TC,Hydraulic - Flood,0,0,SURV,
889,2208950,"Parish Woods Rd, Twn Mexico",S Br Little Salmon R,NY,Girder,Steel,1935,1987,,PC,Collision,0,1,SURV,
890,3209080,"Stone Rd Twn New Haven, Oswego",Catfish Creek,NY,Girder,Steel,1965,1987,,PC,Steel - Deter,0,0,SURV,
891,1055760,Ped Overpass 73rd Terrace (1),Van Wyck Expy.,NY,,,,1987,,TC,Collision Raise Dump,,,MEMO,
892,1065460,Bedford Avenue,Brooklyn-Queens Expy,NY,,,,1987,,PC,Collision Raise Dump,,,MEMO,
893,2230730,31st Avenue,Brooklyn-Queens Expy,NY,,,,1987,,PC,Collision Raise Dump,,,MEMO,
894,1075340,Ped Overpass Beach Ave. (1),Bruckner Expy,NY,,,,1987,,PC,Collision Raise Dump,,,MEMO,
895,,"Fawn Hill Rd, Shandaken",Woodland Creek,NY,Girder,Steel,1955,1988,,TC,Overload PSTD,0,1,SURV,
896,1075060,Ped. Overpass Hicks/Henry St.,Gowanus Exp'way,NY,,,,1988,,PC,Collision Raise Dump,,,MEMO,
897,1055380,Pedestrian Overpass 99th St,Long Island Exp,NY,,,,1988,,PC,Collision Raise Dump,,,MEMO,
898,2204660,"Woodchuck Hill, Herkimer",White Creek,NY,Culvert,Steel,1988,1989,,TC,Hydraulic - Scour,0,0,SURV,
899,,"Bruckner Expwy Overpass, NYC",Bruckner Expressway,NY,Girder-Ped,Steel,,1989,,TC,Collision - Truck,0,2,ARTL,
900,1015670,"US 20, Genesee County",Black Creek,NY,Slab,PC,1933,1989,,PC,Hydraulic - Scour,0,0,SURV,
901,3315840,"Gilhooly Road, Genesee County",Little Tonawanda Cr,NY,Culvert,Steel,1950,1989,,TC,Hydraulic - Flood,0,0,SURV,
902,3315970,"Little Canada Road, Genesee Co",Black Creek,NY,Girder,Steel,1953,1989,,PC,Hydraulic - Scour,0,0,SURV,
903,3319440,"West Street, Wyoming Co.",Cattaraugus Creek,NY,Truss pony,Steel,1937,1989,,PC,Hydraulic - Flood,0,0,SURV,
904,3361950,"West Middlebury Road, Wyoming Co",Middlebury Creek,NY,Culvert,Steel,1934,1989,,TC,Hydraulic - Flood,0,0,SURV,
905,2202140,"Bert Hager Rd, Rennselaer Co",Kinderhook Creek,NY,Truss pony,Steel,1912,1989,,TC,Overload PSTD,0,0,SURV,
906,3208850,"Wiltseville Rd., Twn Hannibal",Nine Mile Creek,NY,Girder,Steel,1973,1989,,PC,Steel - Deter,0,0,SURV,
907,3313490,"CR54, Twn Schroeppel, Oswego Co",Fish Creek,NY,Girder,Steel,1900,1989,,PC,Steel  - Fatigue,0,0,SURV,
908,1055760,Ped Overpass 73rd Terrace (2),Van Wyck Exp'way,NY,,,,1989,,TC,Collision Raise Dump,,,MEMO,
909,1075340,Pedest Overpass at Beach Ave (2),Bruckner Exp'way,NY,,,,1989,,TC,Collision Raise Dump,,,MEMO,
